2024-12-11T05:47:03.990Z [info]: Starting price update service
2024-12-11T05:47:05.011Z [debug]: USDC->USDT on Uniswap V2: 0.996596
2024-12-11T05:47:05.012Z [debug]: USDC->USDT on Uniswap V2: 0.997402
2024-12-11T05:47:09.044Z [debug]: USDC->USDT on Uniswap V3: 0.999540
2024-12-11T05:47:09.044Z [debug]: USDC->USDT on Uniswap V3: 1.000259
2024-12-11T05:47:09.044Z [debug]: USDC->USDT on Uniswap V3: 0.999183
2024-12-11T05:47:09.044Z [debug]: USDC->USDT on Uniswap V3: 0.999816
2024-12-11T05:47:09.044Z [debug]: USDC->USDT on Uniswap V3: 0.996416
2024-12-11T05:47:09.045Z [debug]: USDC->USDT on Uniswap V3: 0.997582
2024-12-11T05:47:09.045Z [debug]: USDC->USDT on Uniswap V3: 0.998304
2024-12-11T05:47:09.045Z [debug]: USDC->USDT on Uniswap V3: 0.981601
2024-12-11T05:47:09.052Z [price]: Updated 10 prices for USDC/USDT
2024-12-11T05:47:10.996Z [debug]: USDC->DAI on Uniswap V2: 997569144521.894775
2024-12-11T05:47:13.983Z [debug]: USDC->DAI on Uniswap V3: 999892783592.478149
2024-12-11T05:47:13.983Z [debug]: USDC->DAI on Uniswap V3: 999627798333.739014
2024-12-11T05:47:13.983Z [debug]: USDC->DAI on Uniswap V3: 999603577988.320313
2024-12-11T05:47:13.983Z [debug]: USDC->DAI on Uniswap V3: 992547341995.037231
2024-12-11T05:47:13.985Z [price]: Updated 5 prices for USDC/DAI
2024-12-11T05:47:15.951Z [debug]: WETH->USDC on Uniswap V2: 0.000000
2024-12-11T05:47:15.951Z [debug]: WETH->USDC on Uniswap V2: 9783.013434
2024-12-11T05:47:20.847Z [debug]: WETH->USDC on Uniswap V3: 0.000000
2024-12-11T05:47:20.847Z [debug]: WETH->USDC on Uniswap V3: 358.107434
2024-12-11T05:47:20.847Z [debug]: WETH->USDC on Uniswap V3: 0.000000
2024-12-11T05:47:20.847Z [debug]: WETH->USDC on Uniswap V3: 9834.140967
2024-12-11T05:47:20.847Z [debug]: WETH->USDC on Uniswap V3: 0.000000
2024-12-11T05:47:20.847Z [debug]: WETH->USDC on Uniswap V3: 2793.016575
2024-12-11T05:47:20.847Z [debug]: WETH->USDC on Uniswap V3: 0.000000
2024-12-11T05:47:20.847Z [debug]: WETH->USDC on Uniswap V3: 89.124081
2024-12-11T05:47:20.849Z [price]: Updated 10 prices for WETH/USDC
2024-12-11T05:47:21.641Z [debug]: WETH->USDT on Uniswap V2: 0.000000
2024-12-11T05:47:21.642Z [debug]: WETH->USDT on Uniswap V2: 12348.358602
2024-12-11T05:47:25.109Z [debug]: WETH->USDT on Uniswap V3: 0.000000
2024-12-11T05:47:25.109Z [debug]: WETH->USDT on Uniswap V3: 1245.443190
2024-12-11T05:47:25.109Z [debug]: WETH->USDT on Uniswap V3: 0.000000
2024-12-11T05:47:25.109Z [debug]: WETH->USDT on Uniswap V3: 3878.044057
2024-12-11T05:47:25.109Z [debug]: WETH->USDT on Uniswap V3: 0.000000
2024-12-11T05:47:25.109Z [debug]: WETH->USDT on Uniswap V3: 8904.426129
2024-12-11T05:47:25.109Z [debug]: WETH->USDT on Uniswap V3: 0.000000
